"disaster subtype",region,"disaster group",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
Drought,"Eastern Africa",Natural,126,543561,225062229,0,0,225062229,371900
Drought,"Eastern Asia",Natural,49,3503534,524250000,0,0,524250000,29760420
Drought,"Eastern Europe",Natural,16,2,1216194,0,0,1216194,6120000
Drought,Melanesia,Natural,6,60,834835,0,0,834835,30000
Drought,Micronesia,Natural,3,0,119184,0,0,119184,0
Drought,"Middle Africa",Natural,25,3058,11379800,0,0,11379800,84500
Drought,"Northern Africa",Natural,18,150012,31153400,0,0,31153400,900100
Drought,"Northern America",Natural,18,0,55000,0,0,55000,42145000
Drought,"Northern Europe",Natural,3,0,0,0,0,0,1030173
Drought,Polynesia,Natural,1,0,0,0,0,0,0
Drought,"Russian Federation",Natural,1,1200000,5000000,0,0,5000000,0
Drought,"South America",Natural,60,36,89754003,0,0,89754003,13215100
Drought,"South-Eastern Asia",Natural,44,9337,60455029,0,0,60455029,1437073
Drought,"Southern Africa",Natural,32,500,24300115,0,0,24300115,1120739
Drought,"Southern Asia",Natural,46,6150518,1147985000,0,0,1147985000,6165372
Drought,"Southern Europe",Natural,17,0,9272575,0,0,9272575,16721136
Drought,"Western Africa",Natural,96,170012,79139957,0,0,79139957,507354
Drought,"Western Asia",Natural,16,0,5452000,0,20000,5472000,487000
Drought,"Western Europe",Natural,5,0,0,0,0,0,1610000
"Extra-tropical storm","Eastern Europe",Natural,13,26,1140,65,0,1205,490050
"Extra-tropical storm","Northern America",Natural,1,12,0,0,0,0,1000000
"Extra-tropical storm","Northern Europe",Natural,28,112,28500,0,0,28500,10632439
"Extra-tropical storm","South America",Natural,1,3,0,0,1600,1600,0
"Extra-tropical storm","Southern Europe",Natural,10,30,0,0,0,0,2711000
"Extra-tropical storm","Western Europe",Natural,50,280,3900690,240,0,3900930,35760650
"Flash flood","Australia and New Zealand",Natural,14,79,30000,36,6300,36336,1833600
"Flash flood",Caribbean,Natural,16,156,1237570,86,45450,1283106,171070
"Flash flood","Central America",Natural,17,671,365795,437,28790,395022,57700
"Flash flood","Central Asia",Natural,12,123,258836,783,12406,272025,103628
"Flash flood","Eastern Africa",Natural,39,1632,804078,394,272900,1077372,53920
"Flash flood","Eastern Asia",Natural,38,3471,89027407,40581,987516,90055504,8918760
"Flash flood","Eastern Europe",Natural,12,332,401525,5110,10000,416635,2046560
"Flash flood",Melanesia,Natural,4,52,57436,0,0,57436,31000
"Flash flood","Middle Africa",Natural,10,358,373009,1000,76783,450792,16000
"Flash flood","Northern Africa",Natural,20,444,404160,94,2700,406954,420061
"Flash flood","Northern America",Natural,18,187,44420,4,7000,51424,2165830
"Flash flood","Northern Europe",Natural,6,8,4830,8,0,4838,937150
"Flash flood",Polynesia,Natural,2,6,0,3,0,3,51500
"Flash flood","South America",Natural,24,31668,1094003,6265,265214,1365482,3664270
"Flash flood","South-Eastern Asia",Natural,114,4669,16781743,4781,162235,16948759,3280514
"Flash flood","Southern Africa",Natural,8,259,24000,12,2500,26512,23300
"Flash flood","Southern Asia",Natural,99,17838,57030982,5361,578374,57614717,11708068
"Flash flood","Southern Europe",Natural,26,1399,117336,131,1000,118467,9897000
"Flash flood","Western Africa",Natural,19,438,225476,617,126607,352700,7805
"Flash flood","Western Asia",Natural,33,1363,1784840,318,97000,1882158,3287400
"Flash flood","Western Europe",Natural,16,96,54035,5,0,54040,5022000
"Forest fire","Australia and New Zealand",Natural,5,20,3150,199,141,3490,437000
"Forest fire",Caribbean,Natural,5,0,0,0,0,0,1000
"Forest fire","Central America",Natural,11,50,17200,0,0,17200,171200
"Forest fire","Central Asia",Natural,1,0,8000,0,0,8000,0
"Forest fire","Eastern Africa",Natural,1,0,0,5,0,5,0
"Forest fire","Eastern Asia",Natural,14,270,65114,297,1635,67046,1932800
"Forest fire","Eastern Europe",Natural,26,133,100000,26,3753,103779,403390
"Forest fire","Middle Africa",Natural,2,1,85,0,750,835,0
"Forest fire","Northern Africa",Natural,2,30,0,0,0,0,0
"Forest fire","Northern America",Natural,69,1364,144504,312,33430,178246,18841000
"Forest fire","Northern Europe",Natural,1,1,0,0,0,0,150000
"Forest fire",Polynesia,Natural,1,0,1000,0,0,1000,31650
"Forest fire","Russian Federation",Natural,1,0,0,0,0,0,0
"Forest fire","South America",Natural,20,32,283175,72,3132,286379,810000
"Forest fire","South-Eastern Asia",Natural,19,310,3092888,478,23000,3116366,9644000
"Forest fire","Southern Africa",Natural,3,33,1500,0,1600,3100,0
"Forest fire","Southern Asia",Natural,6,94,0,0,54000,54000,11700
"Forest fire","Southern Europe",Natural,51,262,1173208,454,4342,1178004,9930421
"Forest fire","Western Africa",Natural,1,2,4000,200,3000,7200,0
"Forest fire","Western Asia",Natural,10,60,20700,77,650,21427,315000
"Forest fire","Western Europe",Natural,12,32,6250,161,6,6417,10000
Grasshopper,"Middle Africa",Natural,3,0,0,0,0,0,0
Grasshopper,"Western Africa",Natural,13,0,0,0,0,0,0
"Ground movement","Australia and New Zealand",Natural,13,471,643010,1726,720,645456,25797344
"Ground movement",Caribbean,Natural,14,223971,3498029,300179,55,3798263,8075000
"Ground movement","Central America",Natural,90,56443,10545696,163191,1932564,12641451,12138250
"Ground movement","Central Asia",Natural,19,113,245279,798,34252,280329,186500
"Ground movement","Eastern Africa",Natural,30,245,74785,1754,75265,151804,106570
"Ground movement","Eastern Asia",Natural,213,1055227,71491928,829533,4924544,77246005,272246957
"Ground movement","Eastern Europe",Natural,31,4780,228633,13479,217740,459852,2561520
"Ground movement",Melanesia,Natural,25,134,34525,378,18900,53803,10875
