disaster_subtype;region;disaster_group;occurrence;Total_deaths;other_affected;Injured;Homeless;Total_affected;Total_damage;control_affected
Tsunami;Northern America;Natural;3;88;0;0;0;0;900;0
Tsunami;Polynesia;Natural;3;186;8275;317;0;8592;159500;8592
Tsunami;Russian Federation;Natural;2;2318;0;0;0;0;0;0
Tsunami;South America;Natural;2;107;0;2;750;752;0;752
Tsunami;South-Eastern Asia;Natural;14;177400;117502;10299;540489;668290;6506600;668290
Tsunami;Southern Asia;Natural;4;51892;1175729;32303;493000;1701032;3309400;1701032
Tsunami;Western Europe;Natural;1;11;0;2;0;2;0;2
Viral disease;Australia and New Zealand;Natural;3;6700;7;0;0;7;0;7
Viral disease;Caribbean;Natural;16;129;135856;0;0;135856;0;135856
Viral disease;Central America;Natural;31;425;216934;0;0;216934;7;216934
Viral disease;Central Asia;Natural;4;21;1028;141;0;1169;0;1169
Viral disease;Eastern Africa;Natural;46;2953;327865;1432;0;329297;0;329297
Viral disease;Eastern Asia;Natural;14;765;2305447;0;0;2305447;0;2305447
Viral disease;Eastern Europe;Natural;9;33;8147;0;0;8147;0;8147
Viral disease;Melanesia;Natural;7;321;10934;0;0;10934;0;10934
Viral disease;Middle Africa;Natural;52;6024;594994;113;0;595107;0;595107
Viral disease;Northern Africa;Natural;10;2190;23747;0;0;23747;0;23747
Viral disease;Northern America;Natural;7;50743;2011949;0;0;2011949;0;2011949
Viral disease;Northern Europe;Natural;4;2;1379;0;0;1379;0;1379
Viral disease;Polynesia;Natural;4;8;2867;0;0;2867;0;2867
Viral disease;South America;Natural;45;1397;2308036;0;0;2308036;0;2308036
Viral disease;South-Eastern Asia;Natural;57;5267;319250;124136;0;443386;0;443386
Viral disease;Southern Africa;Natural;2;11;47;0;0;47;0;47
Viral disease;Southern Asia;Natural;60;832702;340164;0;0;340164;0;340164
Viral disease;Southern Europe;Natural;6;45;10642;0;0;10642;0;10642
Viral disease;Western Africa;Natural;65;24270;417994;4826;0;422820;0;422820
Viral disease;Western Asia;Natural;12;727;108668;0;0;108668;0;108668
Viral disease;Western Europe;Natural;5;1;720;0;0;720;0;720
