"";"year";"disaster.group";"disaster.subgroup";"disaster.type";"disaster.subtype";"country";"deaths";"total_affected"
"8951";2001;"Technological";"Technological";"Miscellaneous accident";"Explosion";"Nigeria";10;7
"8952";2001;"Technological";"Technological";"Miscellaneous accident";"Explosion";"Japan";44;3
"8953";2001;"Technological";"Technological";"Miscellaneous accident";"Explosion";"Thailand";17;5090
"8954";2001;"Technological";"Technological";"Miscellaneous accident";"Explosion";"Viet Nam";0;504
"8955";2001;"Technological";"Technological";"Miscellaneous accident";"Explosion";"Yemen";15;16
"8956";2001;"Technological";"Technological";"Miscellaneous accident";"Explosion";"Romania";10;0
"8957";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"Kenya";67;27
"8958";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"Uganda";31;79
"8959";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"Equatorial Guinea";1;250
"8960";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"Egypt";0;348
"8961";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"Nigeria";30;10
"8962";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"United States";11;0
"8963";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"Brazil";6;341
"8964";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"Peru";291;134
"8965";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"China P Rep";13;0
"8966";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"Japan";11;0
"8967";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"Cambodia";0;20000
"8968";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"Philippines";73;51
"8969";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"India";39;65
"8970";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"United Arab Emirates";14;15
"8971";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"Italy";19;7
"8972";2001;"Technological";"Technological";"Miscellaneous accident";"Fire";"Netherlands";9;180
"8973";2001;"Technological";"Technological";"Miscellaneous accident";"Other";"Zaire/Congo Dem Rep";10;50
"8974";2001;"Technological";"Technological";"Miscellaneous accident";"Other";"South Africa";43;160
"8975";2001;"Technological";"Technological";"Miscellaneous accident";"Other";"Ghana";123;93
"8976";2001;"Technological";"Technological";"Miscellaneous accident";"Other";"Brazil";0;170
"8977";2001;"Technological";"Technological";"Miscellaneous accident";"Other";"Kyrgyzstan";20;0
"8978";2001;"Technological";"Technological";"Miscellaneous accident";"Other";"Japan";10;90
"8979";2001;"Technological";"Technological";"Miscellaneous accident";"Other";"India";14;2000
"8980";2001;"Technological";"Technological";"Miscellaneous accident";"Other";"Saudi Arabia";35;0
"8981";2001;"Technological";"Technological";"Miscellaneous accident";"Other";"Estonia";22;30
"8982";2001;"Technological";"Technological";"Transport Accident";"Air";"Angola";56;0
"8983";2001;"Technological";"Technological";"Transport Accident";"Air";"Sudan";15;0
"8984";2001;"Technological";"Technological";"Transport Accident";"Air";"Guadeloupe";20;0
"8985";2001;"Technological";"Technological";"Transport Accident";"Air";"Mexico";19;0
"8986";2001;"Technological";"Technological";"Transport Accident";"Air";"United States";314;16
"8987";2001;"Technological";"Technological";"Transport Accident";"Air";"Argentina";10;0
"8988";2001;"Technological";"Technological";"Transport Accident";"Air";"Colombia";16;0
"8989";2001;"Technological";"Technological";"Transport Accident";"Air";"Suriname";10;0
"8990";2001;"Technological";"Technological";"Transport Accident";"Air";"Venezuela";37;3
"8991";2001;"Technological";"Technological";"Transport Accident";"Air";"Mongolia";10;0
"8992";2001;"Technological";"Technological";"Transport Accident";"Air";"Myanmar";16;13
"8993";2001;"Technological";"Technological";"Transport Accident";"Air";"Viet Nam";16;0
"8994";2001;"Technological";"Technological";"Transport Accident";"Air";"Afghanistan";22;0
"8995";2001;"Technological";"Technological";"Transport Accident";"Air";"Iran Islam Rep";42;0
"8996";2001;"Technological";"Technological";"Transport Accident";"Air";"Turkey";34;0
"8997";2001;"Technological";"Technological";"Transport Accident";"Air";"Russia";289;0
"8998";2001;"Technological";"Technological";"Transport Accident";"Air";"Italy";118;0
"8999";2001;"Technological";"Technological";"Transport Accident";"Air";"Switzerland";24;9
"9000";2001;"Technological";"Technological";"Transport Accident";"Rail";"Congo";45;100
"9001";2001;"Technological";"Technological";"Transport Accident";"Rail";"South Africa";0;102
"9002";2001;"Technological";"Technological";"Transport Accident";"Rail";"United States";0;117
"9003";2001;"Technological";"Technological";"Transport Accident";"Rail";"Indonesia";141;108
"9004";2001;"Technological";"Technological";"Transport Accident";"Rail";"Bangladesh";3;100
"9005";2001;"Technological";"Technological";"Transport Accident";"Rail";"India";147;388
"9006";2001;"Technological";"Technological";"Transport Accident";"Rail";"Pakistan";15;200
"9007";2001;"Technological";"Technological";"Transport Accident";"Rail";"Sri Lanka";13;40
"9008";2001;"Technological";"Technological";"Transport Accident";"Rail";"Russia";12;18
"9009";2001;"Technological";"Technological";"Transport Accident";"Rail";"United Kingdom";13;70
"9010";2001;"Technological";"Technological";"Transport Accident";"Road";"Burundi";12;0
"9011";2001;"Technological";"Technological";"Transport Accident";"Road";"Ethiopia";37;58
"9012";2001;"Technological";"Technological";"Transport Accident";"Road";"Kenya";73;44
"9013";2001;"Technological";"Technological";"Transport Accident";"Road";"Malawi";15;4
"9014";2001;"Technological";"Technological";"Transport Accident";"Road";"Tanzania Uni Rep";68;46
"9015";2001;"Technological";"Technological";"Transport Accident";"Road";"Uganda";11;5
"9016";2001;"Technological";"Technological";"Transport Accident";"Road";"Zambia";103;34
"9017";2001;"Technological";"Technological";"Transport Accident";"Road";"Angola";108;97
"9018";2001;"Technological";"Technological";"Transport Accident";"Road";"Chad";29;22
"9019";2001;"Technological";"Technological";"Transport Accident";"Road";"Egypt";108;141
"9020";2001;"Technological";"Technological";"Transport Accident";"Road";"Sudan";35;61
"9021";2001;"Technological";"Technological";"Transport Accident";"Road";"South Africa";101;174
"9022";2001;"Technological";"Technological";"Transport Accident";"Road";"Swaziland";30;59
"9023";2001;"Technological";"Technological";"Transport Accident";"Road";"Benin";15;3
"9024";2001;"Technological";"Technological";"Transport Accident";"Road";"Cote d'Ivoire";19;2
"9025";2001;"Technological";"Technological";"Transport Accident";"Road";"Ghana";19;0
"9026";2001;"Technological";"Technological";"Transport Accident";"Road";"Guinea";42;43
"9027";2001;"Technological";"Technological";"Transport Accident";"Road";"Niger";47;26
"9028";2001;"Technological";"Technological";"Transport Accident";"Road";"Nigeria";514;146
"9029";2001;"Technological";"Technological";"Transport Accident";"Road";"Senegal";18;23
"9030";2001;"Technological";"Technological";"Transport Accident";"Road";"Haiti";22;10
"9031";2001;"Technological";"Technological";"Transport Accident";"Road";"Guatemala";67;72
"9032";2001;"Technological";"Technological";"Transport Accident";"Road";"Argentina";20;0
"9033";2001;"Technological";"Technological";"Transport Accident";"Road";"Brazil";12;1
"9034";2001;"Technological";"Technological";"Transport Accident";"Road";"Chile";22;21
"9035";2001;"Technological";"Technological";"Transport Accident";"Road";"Colombia";38;15
"9036";2001;"Technological";"Technological";"Transport Accident";"Road";"Peru";18;40
"9037";2001;"Technological";"Technological";"Transport Accident";"Road";"China P Rep";281;76
"9038";2001;"Technological";"Technological";"Transport Accident";"Road";"Indonesia";38;19
"9039";2001;"Technological";"Technological";"Transport Accident";"Road";"Philippines";35;0
"9040";2001;"Technological";"Technological";"Transport Accident";"Road";"Thailand";16;27
"9041";2001;"Technological";"Technological";"Transport Accident";"Road";"Viet Nam";38;22
"9042";2001;"Technological";"Technological";"Transport Accident";"Road";"Bangladesh";36;40
"9043";2001;"Technological";"Technological";"Transport Accident";"Road";"India";91;44
"9044";2001;"Technological";"Technological";"Transport Accident";"Road";"Iran Islam Rep";210;141
"9045";2001;"Technological";"Technological";"Transport Accident";"Road";"Nepal";10;7
"9046";2001;"Technological";"Technological";"Transport Accident";"Road";"Pakistan";34;28
"9047";2001;"Technological";"Technological";"Transport Accident";"Road";"Jordan";52;0
"9048";2001;"Technological";"Technological";"Transport Accident";"Road";"Syrian Arab Rep";27;19
"9049";2001;"Technological";"Technological";"Transport Accident";"Road";"Turkey";12;35
"9050";2001;"Technological";"Technological";"Transport Accident";"Road";"Yemen";20;1
"9051";2001;"Technological";"Technological";"Transport Accident";"Road";"Russia";11;2
"9052";2001;"Technological";"Technological";"Transport Accident";"Road";"Macedonia FRY";10;6
"9053";2001;"Technological";"Technological";"Transport Accident";"Road";"Portugal";14;22
"9054";2001;"Technological";"Technological";"Transport Accident";"Road";"Spain";31;25
"9055";2001;"Technological";"Technological";"Transport Accident";"Road";"Switzerland";11;0
"9056";2001;"Technological";"Technological";"Transport Accident";"Water";"Madagascar";47;14
"9057";2001;"Technological";"Technological";"Transport Accident";"Water";"Mozambique";10;0
"9058";2001;"Technological";"Technological";"Transport Accident";"Water";"Somalia";86;0
"9059";2001;"Technological";"Technological";"Transport Accident";"Water";"Angola";20;0
"9060";2001;"Technological";"Technological";"Transport Accident";"Water";"Zaire/Congo Dem Rep";164;0
"9061";2001;"Technological";"Technological";"Transport Accident";"Water";"Egypt";20;0
"9062";2001;"Technological";"Technological";"Transport Accident";"Water";"Morocco";11;0
"9063";2001;"Technological";"Technological";"Transport Accident";"Water";"Benin";11;4
"9064";2001;"Technological";"Technological";"Transport Accident";"Water";"Ghana";21;0
"9065";2001;"Technological";"Technological";"Transport Accident";"Water";"Guinea";52;0
"9066";2001;"Technological";"Technological";"Transport Accident";"Water";"Mauritania";11;0
"9067";2001;"Technological";"Technological";"Transport Accident";"Water";"Nigeria";198;117
"9068";2001;"Technological";"Technological";"Transport Accident";"Water";"Haiti";23;0
"9069";2001;"Technological";"Technological";"Transport Accident";"Water";"Netherlands Antilles";15;4
"9070";2001;"Technological";"Technological";"Transport Accident";"Water";"United States";15;0
"9071";2001;"Technological";"Technological";"Transport Accident";"Water";"China P Rep";70;0
"9072";2001;"Technological";"Technological";"Transport Accident";"Water";"Japan";28;0
"9073";2001;"Technological";"Technological";"Transport Accident";"Water";"Indonesia";455;44
"9074";2001;"Technological";"Technological";"Transport Accident";"Water";"Malaysia";14;0
"9075";2001;"Technological";"Technological";"Transport Accident";"Water";"Thailand";16;0
"9076";2001;"Technological";"Technological";"Transport Accident";"Water";"Viet Nam";16;0
"9077";2001;"Technological";"Technological";"Transport Accident";"Water";"Bangladesh";395;0
"9078";2001;"Technological";"Technological";"Transport Accident";"Water";"India";50;75
"9079";2001;"Technological";"Technological";"Transport Accident";"Water";"Turkey";59;0
"9080";2001;"Technological";"Technological";"Transport Accident";"Water";"Russia";19;32
"9081";2001;"Technological";"Technological";"Transport Accident";"Water";"Spain";63;0
"9082";2002;"Complex Disasters";"Complex Disasters";"Complex Disasters";"Famine";"Panama";0;3000
"9083";2002;"Natural";"Biological";"Epidemic";"--";"Burundi";6;448
"9084";2002;"Natural";"Biological";"Epidemic";"--";"Malawi";175;0
"9085";2002;"Natural";"Biological";"Epidemic";"--";"Zimbabwe";4;102
"9086";2002;"Natural";"Biological";"Epidemic";"--";"South Africa";12;425
"9087";2002;"Natural";"Biological";"Epidemic";"--";"Nigeria";215;3639
"9088";2002;"Natural";"Biological";"Epidemic";"--";"United States";0;101
"9089";2002;"Natural";"Biological";"Epidemic";"--";"China P Rep";0;1000
"9090";2002;"Natural";"Biological";"Epidemic";"--";"Afghanistan";2720;6719
"9091";2002;"Natural";"Biological";"Epidemic";"--";"India";44;0
"9092";2002;"Natural";"Biological";"Epidemic";"--";"Nepal";32;0
"9093";2002;"Natural";"Biological";"Epidemic";"--";"Pakistan";10;25
"9094";2002;"Natural";"Biological";"Epidemic";"--";"Sweden";0;350
"9095";2002;"Natural";"Biological";"Epidemic";"--";"Albania";0;226
"9096";2002;"Natural";"Biological";"Epidemic";"--";"Macedonia FRY";0;200
"9097";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Burundi";81;1715
"9098";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Malawi";41;773
"9099";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Mozambique";17;2028
"9100";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Rwanda";83;636
"9101";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Somalia";63;1191
"9102";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Tanzania Uni Rep";9;149
"9103";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Zimbabwe";0;350
"9104";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Zaire/Congo Dem Rep";164;3112
"9105";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Sudan";49;281
"9106";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"South Africa";72;12927
"9107";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Benin";50;452
"9108";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Cote d'Ivoire";77;861
"9109";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Guinea";23;123
"9110";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Liberia";0;661
"9111";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Mali";33;282
"9112";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Niger";316;3306
"9113";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Nigeria";26;264
"9114";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Senegal";7;121
"9115";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Togo";95;494
"9116";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Panama";0;173
"9117";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"China P Rep";20;674
"9118";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Indonesia";17;757
"9119";2002;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Afghanistan";17;115
"9120";2002;"Natural";"Biological";"Epidemic";"Parasitic Infectious Diseases";"Sudan";0;1000
"9121";2002;"Natural";"Biological";"Epidemic";"Parasitic Infectious Diseases";"Afghanistan";0;2e+05
"9122";2002;"Natural";"Biological";"Epidemic";"Parasitic Infectious Diseases";"Bangladesh";96;49904
"9123";2002;"Natural";"Biological";"Epidemic";"Parasitic Infectious Diseases";"India";50;4950
"9124";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Ethiopia";12;0
"9125";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Madagascar";671;21975
"9126";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Somalia";30;0
"9127";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Central African Rep";6;727
"9128";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Congo";128;15
"9129";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Zaire/Congo Dem Rep";2338;536263
"9130";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Nigeria";14;0
"9131";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Senegal";11;60
"9132";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"El Salvador";6;2399
"9133";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Guatemala";1;2042
"9134";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Honduras";8;4530
"9135";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Canada";2;139
"9136";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"United States";214;3523
"9137";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Brazil";57;317730
"9138";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Ecuador";0;100
"9139";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"China P Rep";349;4978
"9140";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Afghanistan";60;0
"9141";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"India";86;200
"9142";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Italy";3;9997
"9143";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Germany";0;600
"9144";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Papua New Guinea";142;2215
"9145";2002;"Natural";"Climatological";"Drought";"Drought";"Madagascar";0;6e+05
"9146";2002;"Natural";"Climatological";"Drought";"Drought";"Malawi";500;2829435
"9147";2002;"Natural";"Climatological";"Drought";"Drought";"Mozambique";9;6e+05
"9148";2002;"Natural";"Climatological";"Drought";"Drought";"Uganda";79;655000
"9149";2002;"Natural";"Climatological";"Drought";"Drought";"Lesotho";0;5e+05
"9150";2002;"Natural";"Climatological";"Drought";"Drought";"Namibia";0;345000
"9151";2002;"Natural";"Climatological";"Drought";"Drought";"Cape Verde Is";0;30000
"9152";2002;"Natural";"Climatological";"Drought";"Drought";"Gambia The";0;0
"9153";2002;"Natural";"Climatological";"Drought";"Drought";"Guinea Bissau";0;1e+05
"9154";2002;"Natural";"Climatological";"Drought";"Drought";"Senegal";0;284000
"9155";2002;"Natural";"Climatological";"Drought";"Drought";"Honduras";0;82000
"9156";2002;"Natural";"Climatological";"Drought";"Drought";"Mexico";0;0
"9157";2002;"Natural";"Climatological";"Drought";"Drought";"United States";0;0
"9158";2002;"Natural";"Climatological";"Drought";"Drought";"Brazil";0;0
"9159";2002;"Natural";"Climatological";"Drought";"Drought";"Peru";0;21500
"9160";2002;"Natural";"Climatological";"Drought";"Drought";"China P Rep";0;64560000
"9161";2002;"Natural";"Climatological";"Drought";"Drought";"Cambodia";0;650000
"9162";2002;"Natural";"Climatological";"Drought";"Drought";"Philippines";0;0
"9163";2002;"Natural";"Climatological";"Drought";"Drought";"Thailand";0;5e+06
"9164";2002;"Natural";"Climatological";"Drought";"Drought";"Viet Nam";0;1300000
"9165";2002;"Natural";"Climatological";"Drought";"Drought";"India";0;3e+08
"9166";2002;"Natural";"Climatological";"Drought";"Drought";"Italy";0;0
"9167";2002;"Natural";"Climatological";"Drought";"Drought";"Australia";0;0
"9168";2002;"Natural";"Climatological";"Extreme temperature";"Cold wave";"Mexico";50;0
"9169";2002;"Natural";"Climatological";"Extreme temperature";"Cold wave";"Argentina";0;200
"9170";2002;"Natural";"Climatological";"Extreme temperature";"Cold wave";"Chile";0;25000
"9171";2002;"Natural";"Climatological";"Extreme temperature";"Cold wave";"Bangladesh";700;50000
"9172";2002;"Natural";"Climatological";"Extreme temperature";"Cold wave";"India";900;0
"9173";2002;"Natural";"Climatological";"Extreme temperature";"Cold wave";"Nepal";60;200
"9174";2002;"Natural";"Climatological";"Extreme temperature";"Cold wave";"Pakistan";0;0
"9175";2002;"Natural";"Climatological";"Extreme temperature";"Cold wave";"Poland";183;0
"9176";2002;"Natural";"Climatological";"Extreme temperature";"Cold wave";"Romania";10;0
"9177";2002;"Natural";"Climatological";"Extreme temperature";"Cold wave";"Russia";242;25062
"9178";2002;"Natural";"Climatological";"Extreme temperature";"Heat wave";"Nigeria";60;0
"9179";2002;"Natural";"Climatological";"Extreme temperature";"Heat wave";"United States";14;0
"9180";2002;"Natural";"Climatological";"Extreme temperature";"Heat wave";"China P Rep";7;3500
"9181";2002;"Natural";"Climatological";"Extreme temperature";"Heat wave";"India";1030;0
"9182";2002;"Natural";"Climatological";"Extreme temperature";"Heat wave";"Pakistan";113;24
"9183";2002;"Natural";"Climatological";"Wildfire";"Forest fire";"Central African Rep";1;750
"9184";2002;"Natural";"Climatological";"Wildfire";"Forest fire";"Nicaragua";0;16000
"9185";2002;"Natural";"Climatological";"Wildfire";"Forest fire";"Canada";0;600
"9186";2002;"Natural";"Climatological";"Wildfire";"Forest fire";"United States";0;6488
"9187";2002;"Natural";"Climatological";"Wildfire";"Forest fire";"Bolivia";0;0
"9188";2002;"Natural";"Climatological";"Wildfire";"Forest fire";"Chile";0;0
"9189";2002;"Natural";"Climatological";"Wildfire";"Forest fire";"Japan";0;222
"9190";2002;"Natural";"Climatological";"Wildfire";"Forest fire";"Indonesia";0;200
"9191";2002;"Natural";"Climatological";"Wildfire";"Forest fire";"Viet Nam";0;0
"9192";2002;"Natural";"Climatological";"Wildfire";"Forest fire";"Russia";0;120
"9193";2002;"Natural";"Climatological";"Wildfire";"Scrub/grassland fire";"South Africa";3;1500
"9194";2002;"Natural";"Climatological";"Wildfire";"Scrub/grassland fire";"United States";0;0
"9195";2002;"Natural";"Climatological";"Wildfire";"Scrub/grassland fire";"Iran Islam Rep";0;0
"9196";2002;"Natural";"Climatological";"Wildfire";"Scrub/grassland fire";"Australia";2;244
"9197";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Rwanda";45;1643
"9198";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Tanzania Uni Rep";2;2000
"9199";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Egypt";0;250
"9200";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Argentina";0;727
"9201";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Tajikistan";3;1550
"9202";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"China P Rep";2;65878
"9203";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Taiwan (China)";4;500
"9204";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Indonesia";11;11845
"9205";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Philippines";15;73451
"9206";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Afghanistan";1200;100891
"9207";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"India";2;200
"9208";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Iran Islam Rep";230;147156
"9209";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Pakistan";39;155847
"9210";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Georgia";6;19156
"9211";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Turkey";42;252327
"9212";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Greece";0;167
"9213";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Italy";32;9542
"9214";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Serbia Montenegro";1;100
"9215";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Papua New Guinea";5;5470
"9216";2002;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Vanuatu";0;1003
"9217";2002;"Natural";"Geophysical";"Mass movement dry";"Landslide";"Ecuador";60;0
"9218";2002;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Zaire/Congo Dem Rep";200;110400
"9219";2002;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Guatemala";0;0
"9220";2002;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Mexico";0;300
"9221";2002;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Ecuador";0;149650
"9222";2002;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Indonesia";0;5000
"9223";2002;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Papua New Guinea";0;13000
"9224";2002;"Natural";"Hydrological";"Flood";"--";"Burundi";0;2000
"9225";2002;"Natural";"Hydrological";"Flood";"--";"Malawi";8;246340
"9226";2002;"Natural";"Hydrological";"Flood";"--";"Uganda";0;100
"9227";2002;"Natural";"Hydrological";"Flood";"--";"Algeria";6;0
"9228";2002;"Natural";"Hydrological";"Flood";"--";"Egypt";14;70
"9229";2002;"Natural";"Hydrological";"Flood";"--";"Sudan";0;1e+05
"9230";2002;"Natural";"Hydrological";"Flood";"--";"Mauritania";25;27500
"9231";2002;"Natural";"Hydrological";"Flood";"--";"Nigeria";0;200
"9232";2002;"Natural";"Hydrological";"Flood";"--";"Dominican Rep";3;1750
"9233";2002;"Natural";"Hydrological";"Flood";"--";"Honduras";1;0
"9234";2002;"Natural";"Hydrological";"Flood";"--";"Colombia";0;1025
"9235";2002;"Natural";"Hydrological";"Flood";"--";"Ecuador";0;520
"9236";2002;"Natural";"Hydrological";"Flood";"--";"Uruguay";0;2500
"9237";2002;"Natural";"Hydrological";"Flood";"--";"Tajikistan";0;408
"9238";2002;"Natural";"Hydrological";"Flood";"--";"China P Rep";187;6347001
"9239";2002;"Natural";"Hydrological";"Flood";"--";"Afghanistan";35;120
"9240";2002;"Natural";"Hydrological";"Flood";"--";"India";20;200
"9241";2002;"Natural";"Hydrological";"Flood";"--";"Pakistan";1;1000
"9242";2002;"Natural";"Hydrological";"Flood";"--";"Yemen";2;700
"9243";2002;"Natural";"Hydrological";"Flood";"--";"Bulgaria";1;0
"9244";2002;"Natural";"Hydrological";"Flood";"--";"Moldova Rep";1;500
"9245";2002;"Natural";"Hydrological";"Flood";"--";"United Kingdom";1;200
"9246";2002;"Natural";"Hydrological";"Flood";"--";"Greece";0;180
"9247";2002;"Natural";"Hydrological";"Flood";"--";"Italy";0;20
"9248";2002;"Natural";"Hydrological";"Flood";"--";"Serbia Montenegro";0;2400
"9249";2002;"Natural";"Hydrological";"Flood";"--";"Belgium";0;1800
"9250";2002;"Natural";"Hydrological";"Flood";"--";"France";0;180
"9251";2002;"Natural";"Hydrological";"Flood";"--";"Germany";27;330108
"9252";2002;"Natural";"Hydrological";"Flood";"Flash flood";"Kenya";12;2000
"9253";2002;"Natural";"Hydrological";"Flood";"Flash flood";"Haiti";31;38339
"9254";2002;"Natural";"Hydrological";"Flood";"Flash flood";"Mexico";27;7000
"9255";2002;"Natural";"Hydrological";"Flood";"Flash flood";"Tajikistan";24;1713
"9256";2002;"Natural";"Hydrological";"Flood";"Flash flood";"China P Rep";793;80035257
"9257";2002;"Natural";"Hydrological";"Flood";"Flash flood";"Thailand";154;3290920
"9258";2002;"Natural";"Hydrological";"Flood";"Flash flood";"Bangladesh";10;1500000
"9259";2002;"Natural";"Hydrological";"Flood";"Flash flood";"Pakistan";14;0
"9260";2002;"Natural";"Hydrological";"Flood";"Flash flood";"Romania";4;3900
"9261";2002;"Natural";"Hydrological";"Flood";"Flash flood";"Russia";91;330613
"9262";2002;"Natural";"Hydrological";"Flood";"Flash flood";"Italy";0;0
"9263";2002;"Natural";"Hydrological";"Flood";"Flash flood";"Spain";6;50
"9264";2002;"Natural";"Hydrological";"Flood";"Flash flood";"France";0;800
"9265";2002;"Natural";"Hydrological";"Flood";"General flood";"Burundi";0;6000
"9266";2002;"Natural";"Hydrological";"Flood";"General flood";"Ethiopia";22;4000
"9267";2002;"Natural";"Hydrological";"Flood";"General flood";"Kenya";73;173008
"9268";2002;"Natural";"Hydrological";"Flood";"General flood";"Malawi";1;150000
"9269";2002;"Natural";"Hydrological";"Flood";"General flood";"Mozambique";0;500
"9270";2002;"Natural";"Hydrological";"Flood";"General flood";"Rwanda";69;20000
"9271";2002;"Natural";"Hydrological";"Flood";"General flood";"Somalia";0;0
"9272";2002;"Natural";"Hydrological";"Flood";"General flood";"Tanzania Uni Rep";9;1200
